H(EL.m),V(m3)
77.6,17545182.05
77.7,17707578.04
77.8,17871214.63
77.9,18036096.62
78,18202228.8
78.1,18369615.98
78.2,18538262.94
78.3,18708174.49
78.4,18879355.42
78.5,19051810.52
78.6,19224265.62
78.7,19396720.72
78.8,19569175.82
78.9,19741630.92
79,19914086.02
79.1,20086541.12
79.2,20258996.22
79.3,20431451.32
79.4,20603906.42
79.5,20776361.52
79.6,20948816.62
79.7,21121271.72
79.8,21293726.82
79.9,21466181.92
80,21638637.02
80.1,21811092.12
80.2,21983547.22
80.3,22156002.32
80.4,22328457.42
80.5,22500912.52
80.6,22673367.62
80.7,22845822.72
80.8,23018277.82
80.9,23190732.92
81,23363188.02
81.1,23535643.12
81.2,23708098.22
81.3,23880553.32
81.4,24053008.42
81.5,24225463.52
81.6,24397918.62
81.7,24570373.72
81.8,24742828.82
81.9,24915283.92
82,25087739.02
82.1,25260194.12
82.2,25432649.22
82.3,25605104.32
82.4,25777559.42
82.5,25950014.52
82.6,26122469.62
82.7,26294924.72
82.8,26467379.82
82.9,26639834.92
83,26812290.02
83.1,26984745.12
83.2,27157200.22
83.3,27329655.32
83.4,27502110.42
83.5,27674565.52
83.6,27847020.62
83.7,28019475.72
83.8,28191930.82
83.9,28364385.92
84,28536841.02
84.1,28709296.12
84.2,28881751.22
84.3,29054206.32
84.4,29226661.42
84.5,29399116.52
84.6,29571571.62
84.7,29744026.72
84.8,29916481.82
84.9,30088936.92
85,30261392.02
85.1,30433847.12
85.2,30606302.22
85.3,30778757.32
85.4,30951212.42
85.5,31123667.52
85.6,31296122.62
85.7,31468577.72
85.8,31641032.82
85.9,31813487.92
86,31985943.02
86.1,32158398.12
86.2,32330853.22
86.3,32503308.32
86.4,32675763.42
86.5,32848218.52
86.6,33020673.62
86.7,33193128.72
86.8,33365583.82
86.9,33538038.92
87,33710494.02
87.1,33882949.12
87.2,34055404.22
87.3,34227859.32
87.4,34400314.42
87.5,34572769.52
87.6,34745224.62
87.7,34917679.72
87.8,35090134.82
87.9,35262589.92
88,35435045.02
88.1,35607500.12
88.2,35779955.22
88.3,35952410.32
88.4,36124865.42
88.5,36297320.52
88.6,36469775.62
88.7,36642230.72
88.8,36814685.82
88.9,36987140.92
89,37159596.02
89.1,37332051.12
89.2,37504506.22
89.3,37676961.32
89.4,37849416.42
89.5,38021871.52
89.6,38194326.62
89.7,38366781.72
89.8,38539236.82
89.9,38711691.92
90,38884147.02
90.1,39056602.12
90.2,39229057.22
90.3,39401512.32
90.4,39573967.42
90.5,39746422.52
90.6,39918877.62
90.7,40091332.72
