date,Qin,flg_2ji
1972/9/13 10:00,18,0
1972/9/13 11:00,18,0
1972/9/13 12:00,18,0
1972/9/13 13:00,18,0
1972/9/13 14:00,18,0
1972/9/13 15:00,18,0
1972/9/13 16:00,18,0
1972/9/13 17:00,18,0
1972/9/13 18:00,18,0
1972/9/13 19:00,18,0
1972/9/13 20:00,18,0
1972/9/13 21:00,18,0
1972/9/13 22:00,18,0
1972/9/13 23:00,18,0
1972/9/14 0:00,18,0
1972/9/14 1:00,18,0
1972/9/14 2:00,18,0
1972/9/14 3:00,18,0
1972/9/14 4:00,18,0
1972/9/14 5:00,18,0
1972/9/14 6:00,18,0
1972/9/14 7:00,18,0
1972/9/14 8:00,18,0
1972/9/14 9:00,18,0
1972/9/14 10:00,18,0
1972/9/14 11:00,18,0
1972/9/14 12:00,18,0
1972/9/14 13:00,18,0
1972/9/14 14:00,18,0
1972/9/14 15:00,18,0
1972/9/14 16:00,19,0
1972/9/14 17:00,19,0
1972/9/14 18:00,19,0
1972/9/14 19:00,19,0
1972/9/14 20:00,19,0
1972/9/14 21:00,19,0
1972/9/14 22:00,19,0
1972/9/14 23:00,20,0
1972/9/15 0:00,20,0
1972/9/15 1:00,21,0
1972/9/15 2:00,23,0
1972/9/15 3:00,24,0
1972/9/15 4:00,27,0
1972/9/15 5:00,29,0
1972/9/15 6:00,31,0
1972/9/15 7:00,32,0
1972/9/15 8:00,32,0
1972/9/15 9:00,32,0
1972/9/15 10:00,33,0
1972/9/15 11:00,33,0
1972/9/15 12:00,35,0
1972/9/15 13:00,37,0
1972/9/15 14:00,38,0
1972/9/15 15:00,38,0
1972/9/15 16:00,38,0
1972/9/15 17:00,37,0
1972/9/15 18:00,36,0
1972/9/15 19:00,35,0
1972/9/15 20:00,34,0
1972/9/15 21:00,33,0
1972/9/15 22:00,33,0
1972/9/15 23:00,32,0
1972/9/16 0:00,31,0
1972/9/16 1:00,31,0
1972/9/16 2:00,30,0
1972/9/16 3:00,30,0
1972/9/16 4:00,30,0
1972/9/16 5:00,29,0
1972/9/16 6:00,29,0
1972/9/16 7:00,29,0
1972/9/16 8:00,29,0
1972/9/16 9:00,29,0
1972/9/16 10:00,29,0
1972/9/16 11:00,31,0
1972/9/16 12:00,36,0
1972/9/16 13:00,52,0
1972/9/16 14:00,93,0
1972/9/16 15:00,146,0
1972/9/16 16:00,266,0
1972/9/16 17:00,576,0
1972/9/16 18:00,917,0
1972/9/16 19:00,1430,0
1972/9/16 20:00,2177,0
1972/9/16 21:00,2467,0
1972/9/16 22:00,3101,0
1972/9/16 23:00,3326,0
1972/9/17 0:00,2250,0
1972/9/17 1:00,1473,0
1972/9/17 2:00,1024,0
1972/9/17 3:00,772,0
1972/9/17 4:00,602,0
1972/9/17 5:00,475,0
1972/9/17 6:00,380,0
1972/9/17 7:00,312,0
1972/9/17 8:00,262,0
1972/9/17 9:00,224,0
1972/9/17 10:00,195,0
1972/9/17 11:00,172,0
1972/9/17 12:00,154,0
1972/9/17 13:00,139,0
1972/9/17 14:00,126,0
1972/9/17 14:59,116,0
1972/9/17 15:59,107,0
1972/9/17 16:59,100,0
1972/9/17 17:59,93,0
1972/9/17 18:59,87,0
1972/9/17 19:59,82,0
1972/9/17 20:59,78,0
1972/9/17 21:59,74,0
1972/9/17 22:59,70,0
1972/9/17 23:59,67,0
1972/9/18 0:59,64,0
1972/9/18 1:59,61,0
1972/9/18 2:59,59,0
1972/9/18 3:59,57,0
1972/9/18 4:59,55,0
1972/9/18 5:59,53,0
1972/9/18 6:59,51,0
1972/9/18 7:59,49,0
1972/9/18 8:59,48,0
1972/9/18 9:59,47,0
1972/9/18 10:59,45,0
1972/9/18 11:59,44,0
1972/9/18 12:59,43,0
1972/9/18 13:59,42,0
1972/9/18 14:59,41,0
1972/9/18 15:59,40,0
1972/9/18 16:59,39,0
1972/9/18 17:59,39,0
1972/9/18 18:59,38,0
1972/9/18 19:59,37,0
1972/9/18 20:59,36,0
