date,Qin,flg_2ji
2013/9/14 10:00,18,0
2013/9/14 11:00,18,0
2013/9/14 12:00,18,0
2013/9/14 13:00,18,0
2013/9/14 14:00,18,0
2013/9/14 15:00,18,0
2013/9/14 16:00,18,0
2013/9/14 17:00,18,0
2013/9/14 18:00,18,0
2013/9/14 19:00,18,0
2013/9/14 20:00,18,0
2013/9/14 21:00,18,0
2013/9/14 22:00,18,0
2013/9/14 23:00,18,0
2013/9/15 0:00,18,0
2013/9/15 1:00,18,0
2013/9/15 2:00,18,0
2013/9/15 3:00,18,0
2013/9/15 4:00,18,0
2013/9/15 5:00,18,0
2013/9/15 6:00,19,0
2013/9/15 7:00,23,0
2013/9/15 8:00,30,0
2013/9/15 9:00,36,0
2013/9/15 10:00,41,0
2013/9/15 11:00,42,0
2013/9/15 12:00,42,0
2013/9/15 13:00,46,0
2013/9/15 14:00,56,0
2013/9/15 15:00,69,0
2013/9/15 16:00,84,0
2013/9/15 17:00,103,0
2013/9/15 18:00,129,0
2013/9/15 19:00,156,0
2013/9/15 20:00,222,0
2013/9/15 21:00,449,0
2013/9/15 22:00,816,0
2013/9/15 23:00,1125,0
2013/9/16 0:00,1503,0
2013/9/16 1:00,1825,0
2013/9/16 2:00,1797,0
2013/9/16 3:00,1777,0
2013/9/16 4:00,1993,0
2013/9/16 5:00,2507,0
2013/9/16 6:00,3028,0
2013/9/16 7:00,3111,0
2013/9/16 8:00,2696,0
2013/9/16 9:00,2149,0
2013/9/16 10:00,1579,0
2013/9/16 11:00,1086,0
2013/9/16 12:00,774,0
2013/9/16 13:00,576,0
2013/9/16 14:00,444,0
2013/9/16 15:00,355,0
2013/9/16 16:00,292,0
2013/9/16 17:00,247,0
2013/9/16 18:00,212,0
2013/9/16 19:00,186,0
2013/9/16 20:00,165,0
2013/9/16 21:00,148,0
2013/9/16 22:00,134,0
2013/9/16 23:00,122,0
2013/9/17 0:00,113,0
2013/9/17 1:00,104,0
2013/9/17 2:00,97,0
2013/9/17 3:00,91,0
2013/9/17 4:00,85,0
2013/9/17 5:00,80,0
2013/9/17 6:00,76,0
2013/9/17 7:00,72,0
2013/9/17 8:00,69,0
2013/9/17 9:00,66,0
2013/9/17 10:00,63,0
2013/9/17 11:00,60,0
2013/9/17 12:00,58,0
2013/9/17 13:00,56,0
2013/9/17 14:00,54,0
2013/9/17 15:00,52,0
2013/9/17 16:00,50,0
2013/9/17 17:00,49,0
2013/9/17 18:00,47,0
2013/9/17 19:00,46,0
2013/9/17 20:00,45,0
2013/9/17 21:00,44,0
