date,Qin,flg_2ji
1953/9/24 10:00,18,0
1953/9/24 11:00,18,0
1953/9/24 12:00,18,0
1953/9/24 13:00,18,0
1953/9/24 14:00,19,0
1953/9/24 15:00,20,0
1953/9/24 16:00,22,0
1953/9/24 17:00,24,0
1953/9/24 18:00,28,0
1953/9/24 19:00,33,0
1953/9/24 20:00,40,0
1953/9/24 21:00,51,0
1953/9/24 22:00,65,0
1953/9/24 23:00,82,0
1953/9/25 0:00,107,0
1953/9/25 1:00,133,0
1953/9/25 2:00,157,0
1953/9/25 3:00,177,0
1953/9/25 4:00,193,0
1953/9/25 5:00,232,0
1953/9/25 6:00,270,0
1953/9/25 7:00,257,0
1953/9/25 8:00,243,0
1953/9/25 9:00,236,0
1953/9/25 10:00,234,0
1953/9/25 11:00,226,0
1953/9/25 12:00,237,0
1953/9/25 13:00,337,0
1953/9/25 14:00,582,0
1953/9/25 15:00,1126,0
1953/9/25 16:00,2442,0
1953/9/25 17:00,3915,0
1953/9/25 18:00,3931,0
1953/9/25 19:00,3127,0
1953/9/25 20:00,2203,0
1953/9/25 21:00,1490,0
1953/9/25 22:00,1008,0
1953/9/25 23:00,724,0
1953/9/26 0:00,546,0
1953/9/26 1:00,428,0
1953/9/26 2:00,345,0
1953/9/26 3:00,286,0
1953/9/26 4:00,242,0
1953/9/26 5:00,209,0
1953/9/26 6:00,183,0
1953/9/26 7:00,163,0
1953/9/26 8:00,146,0
1953/9/26 9:00,133,0
1953/9/26 10:00,121,0
1953/9/26 11:00,112,0
1953/9/26 12:00,103,0
1953/9/26 13:00,96,0
1953/9/26 14:00,90,0
1953/9/26 15:00,85,0
1953/9/26 16:00,80,0
1953/9/26 17:00,75,0
1953/9/26 18:00,72,0
1953/9/26 19:00,68,0
1953/9/26 20:00,65,0
1953/9/26 21:00,62,0
