date,Qin,flg_2ji
1961/6/24 10:00,18,0
1961/6/24 11:00,18,0
1961/6/24 12:00,18,0
1961/6/24 13:00,18,0
1961/6/24 14:00,18,0
1961/6/24 15:00,18,0
1961/6/24 16:00,18,0
1961/6/24 17:00,18,0
1961/6/24 18:00,18,0
1961/6/24 19:00,19,0
1961/6/24 20:00,20,0
1961/6/24 21:00,21,0
1961/6/24 22:00,22,0
1961/6/24 23:00,23,0
1961/6/25 0:00,24,0
1961/6/25 1:00,26,0
1961/6/25 2:00,28,0
1961/6/25 3:00,30,0
1961/6/25 4:00,33,0
1961/6/25 5:00,38,0
1961/6/25 6:00,46,0
1961/6/25 7:00,58,0
1961/6/25 8:00,68,0
1961/6/25 9:00,74,0
1961/6/25 10:00,78,0
1961/6/25 11:00,78,0
1961/6/25 12:00,75,0
1961/6/25 13:00,71,0
1961/6/25 14:00,67,0
1961/6/25 15:00,63,0
1961/6/25 16:00,61,0
1961/6/25 17:00,60,0
1961/6/25 18:00,59,0
1961/6/25 19:00,58,0
1961/6/25 20:00,56,0
1961/6/25 21:00,55,0
1961/6/25 22:00,53,0
1961/6/25 23:00,52,0
1961/6/26 0:00,52,0
1961/6/26 1:00,53,0
1961/6/26 2:00,60,0
1961/6/26 3:00,114,0
1961/6/26 4:00,287,0
1961/6/26 5:00,537,0
1961/6/26 6:00,1123,0
1961/6/26 7:00,2179,0
1961/6/26 8:00,3117,0
1961/6/26 9:00,3409,0
1961/6/26 10:00,3624,0
1961/6/26 11:00,4188,0
1961/6/26 12:00,4048,0
1961/6/26 13:00,2527,0
1961/6/26 14:00,1566,0
1961/6/26 15:00,1034,0
1961/6/26 16:00,758,0
1961/6/26 17:00,602,0
1961/6/26 18:00,491,0
1961/6/26 19:00,405,0
1961/6/26 20:00,340,0
1961/6/26 21:00,290,0
1961/6/26 22:00,252,0
1961/6/26 23:00,224,0
1961/6/27 0:00,201,0
1961/6/27 1:00,182,0
1961/6/27 2:00,170,0
1961/6/27 3:00,180,0
1961/6/27 4:00,224,0
1961/6/27 5:00,303,0
1961/6/27 6:00,386,0
1961/6/27 7:00,440,0
1961/6/27 8:00,514,0
1961/6/27 9:00,624,0
1961/6/27 10:00,739,0
1961/6/27 11:00,885,0
1961/6/27 12:00,1031,0
1961/6/27 13:00,1052,0
1961/6/27 14:00,958,0
1961/6/27 15:00,827,0
1961/6/27 16:00,694,0
1961/6/27 17:00,581,0
1961/6/27 18:00,502,0
1961/6/27 19:00,438,0
1961/6/27 20:00,377,0
1961/6/27 21:00,320,0
1961/6/27 22:00,272,0
1961/6/27 23:00,239,0
1961/6/28 0:00,222,0
1961/6/28 1:00,216,0
1961/6/28 2:00,210,0
1961/6/28 3:00,197,0
1961/6/28 4:00,183,0
1961/6/28 5:00,171,0
1961/6/28 6:00,165,0
1961/6/28 7:00,171,0
1961/6/28 8:00,183,0
1961/6/28 9:00,196,0
1961/6/28 10:00,195,0
1961/6/28 11:00,181,0
1961/6/28 12:00,163,0
1961/6/28 13:00,147,0
1961/6/28 14:00,134,0
1961/6/28 15:00,122,0
1961/6/28 16:00,112,0
1961/6/28 17:00,104,0
1961/6/28 18:00,97,0
1961/6/28 19:00,90,0
1961/6/28 20:00,85,0
1961/6/28 21:00,80,0
