date,Qin,flg_2ji
1961/10/26 10:00,18,0
1961/10/26 11:00,18,0
1961/10/26 12:00,18,0
1961/10/26 13:00,18,0
1961/10/26 14:00,18,0
1961/10/26 15:00,18,0
1961/10/26 16:00,18,0
1961/10/26 17:00,18,0
1961/10/26 18:00,18,0
1961/10/26 19:00,18,0
1961/10/26 20:00,18,0
1961/10/26 21:00,18,0
1961/10/26 22:00,18,0
1961/10/26 23:00,18,0
1961/10/27 0:00,18,0
1961/10/27 1:00,18,0
1961/10/27 2:00,18,0
1961/10/27 3:00,18,0
1961/10/27 4:00,18,0
1961/10/27 5:00,18,0
1961/10/27 6:00,18,0
1961/10/27 7:00,18,0
1961/10/27 8:00,18,0
1961/10/27 9:00,20,0
1961/10/27 10:00,23,0
1961/10/27 11:00,27,0
1961/10/27 12:00,30,0
1961/10/27 13:00,31,0
1961/10/27 14:00,33,0
1961/10/27 15:00,36,0
1961/10/27 16:00,38,0
1961/10/27 17:00,41,0
1961/10/27 18:00,48,0
1961/10/27 19:00,55,0
1961/10/27 20:00,60,0
1961/10/27 21:00,76,0
1961/10/27 22:00,203,0
1961/10/27 23:00,639,0
1961/10/28 0:00,1119,0
1961/10/28 1:00,1404,0
1961/10/28 2:00,1779,0
1961/10/28 3:00,2752,0
1961/10/28 4:00,3725,0
1961/10/28 5:00,4191,0
1961/10/28 6:00,4026,0
1961/10/28 7:00,3602,0
1961/10/28 8:00,2604,0
1961/10/28 9:00,1942,0
1961/10/28 10:00,1458,0
1961/10/28 11:00,1059,0
1961/10/28 12:00,790,0
1961/10/28 13:00,609,0
1961/10/28 14:00,485,0
1961/10/28 15:00,399,0
1961/10/28 16:00,334,0
1961/10/28 17:00,287,0
1961/10/28 18:00,252,0
1961/10/28 19:00,224,0
1961/10/28 20:00,200,0
1961/10/28 21:00,180,0
1961/10/28 22:00,162,0
1961/10/28 23:00,146,0
1961/10/29 0:00,133,0
1961/10/29 1:00,122,0
1961/10/29 2:00,112,0
1961/10/29 3:00,104,0
1961/10/29 4:00,97,0
1961/10/29 5:00,90,0
1961/10/29 6:00,85,0
1961/10/29 7:00,80,0
1961/10/29 8:00,76,0
1961/10/29 9:00,72,0
1961/10/29 10:00,68,0
1961/10/29 11:00,65,0
1961/10/29 12:00,62,0
1961/10/29 13:00,60,0
1961/10/29 14:00,58,0
1961/10/29 15:00,55,0
1961/10/29 16:00,54,0
1961/10/29 17:00,52,0
1961/10/29 18:00,50,0
1961/10/29 19:00,49,0
1961/10/29 20:00,47,0
1961/10/29 21:00,46,0
