date,Qin,flg_2ji
1961/10/26 10:00,18,0
1961/10/26 11:00,18,0
1961/10/26 12:00,18,0
1961/10/26 13:00,18,0
1961/10/26 14:00,18,0
1961/10/26 15:00,18,0
1961/10/26 16:00,18,0
1961/10/26 17:00,18,0
1961/10/26 18:00,18,0
1961/10/26 19:00,18,0
1961/10/26 20:00,18,0
1961/10/26 21:00,18,0
1961/10/26 22:00,18,0
1961/10/26 23:00,18,0
1961/10/27 0:00,18,0
1961/10/27 1:00,18,0
1961/10/27 2:00,18,0
1961/10/27 3:00,18,0
1961/10/27 4:00,18,0
1961/10/27 5:00,18,0
1961/10/27 6:00,18,0
1961/10/27 7:00,18,0
1961/10/27 8:00,18,0
1961/10/27 9:00,20,0
1961/10/27 10:00,23,0
1961/10/27 11:00,27,0
1961/10/27 12:00,30,0
1961/10/27 13:00,31,0
1961/10/27 14:00,34,0
1961/10/27 15:00,41,0
1961/10/27 16:00,46,0
1961/10/27 17:00,55,0
1961/10/27 18:00,75,0
1961/10/27 19:00,92,0
1961/10/27 20:00,108,0
1961/10/27 21:00,160,0
1961/10/27 22:00,324,0
1961/10/27 23:00,631,0
1961/10/28 0:00,878,0
1961/10/28 1:00,969,0
1961/10/28 2:00,1073,0
1961/10/28 3:00,1463,0
1961/10/28 4:00,1985,0
1961/10/28 5:00,2385,0
1961/10/28 6:00,2466,0
1961/10/28 7:00,2441,0
1961/10/28 8:00,2280,0
1961/10/28 9:00,2165,0
1961/10/28 10:00,1876,0
1961/10/28 11:00,1454,0
1961/10/28 12:00,1066,0
1961/10/28 13:00,799,0
1961/10/28 14:00,618,0
1961/10/28 15:00,491,0
1961/10/28 16:00,399,0
1961/10/28 17:00,334,0
1961/10/28 18:00,287,0
1961/10/28 19:00,251,0
1961/10/28 20:00,221,0
1961/10/28 21:00,196,0
1961/10/28 22:00,175,0
1961/10/28 23:00,157,0
1961/10/29 0:00,142,0
1961/10/29 1:00,129,0
1961/10/29 2:00,118,0
1961/10/29 3:00,109,0
1961/10/29 4:00,101,0
1961/10/29 5:00,94,0
1961/10/29 6:00,88,0
1961/10/29 7:00,83,0
1961/10/29 8:00,78,0
1961/10/29 9:00,74,0
1961/10/29 10:00,71,0
1961/10/29 11:00,67,0
1961/10/29 12:00,64,0
1961/10/29 13:00,62,0
1961/10/29 14:00,59,0
1961/10/29 15:00,57,0
1961/10/29 16:00,55,0
1961/10/29 17:00,53,0
1961/10/29 18:00,51,0
1961/10/29 19:00,50,0
1961/10/29 20:00,48,0
1961/10/29 21:00,47,0
