date,Qin,flg_2ji
1961/10/26 10:00,18,0
1961/10/26 11:00,18,0
1961/10/26 12:00,18,0
1961/10/26 13:00,18,0
1961/10/26 14:00,18,0
1961/10/26 15:00,18,0
1961/10/26 16:00,18,0
1961/10/26 17:00,18,0
1961/10/26 18:00,18,0
1961/10/26 19:00,18,0
1961/10/26 20:00,18,0
1961/10/26 21:00,18,0
1961/10/26 22:00,18,0
1961/10/26 23:00,18,0
1961/10/27 0:00,18,0
1961/10/27 1:00,18,0
1961/10/27 2:00,18,0
1961/10/27 3:00,18,0
1961/10/27 4:00,18,0
1961/10/27 5:00,18,0
1961/10/27 6:00,18,0
1961/10/27 7:00,18,0
1961/10/27 8:00,18,0
1961/10/27 9:00,20,0
1961/10/27 10:00,23,0
1961/10/27 11:00,27,0
1961/10/27 12:00,30,0
1961/10/27 13:00,31,0
1961/10/27 14:00,33,0
1961/10/27 15:00,36,0
1961/10/27 16:00,38,0
1961/10/27 17:00,41,0
1961/10/27 18:00,48,0
1961/10/27 19:00,55,0
1961/10/27 20:00,60,0
1961/10/27 21:00,76,0
1961/10/27 22:00,155,0
1961/10/27 23:00,397,0
1961/10/28 0:00,683,0
1961/10/28 1:00,857,0
1961/10/28 2:00,996,0
1961/10/28 3:00,1353,0
1961/10/28 4:00,1863,0
1961/10/28 5:00,2315,0
1961/10/28 6:00,2472,0
1961/10/28 7:00,2504,0
1961/10/28 8:00,2366,0
1961/10/28 9:00,2262,0
1961/10/28 10:00,1934,0
1961/10/28 11:00,1430,0
1961/10/28 12:00,1003,0
1961/10/28 13:00,729,0
1961/10/28 14:00,558,0
1961/10/28 15:00,447,0
1961/10/28 16:00,367,0
1961/10/28 17:00,311,0
1961/10/28 18:00,270,0
1961/10/28 19:00,238,0
1961/10/28 20:00,211,0
1961/10/28 21:00,188,0
1961/10/28 22:00,169,0
1961/10/28 23:00,152,0
1961/10/29 0:00,138,0
1961/10/29 1:00,126,0
1961/10/29 2:00,115,0
1961/10/29 3:00,107,0
1961/10/29 4:00,99,0
1961/10/29 5:00,92,0
1961/10/29 6:00,87,0
1961/10/29 7:00,82,0
1961/10/29 8:00,77,0
1961/10/29 9:00,73,0
1961/10/29 10:00,70,0
1961/10/29 11:00,66,0
1961/10/29 12:00,64,0
1961/10/29 13:00,61,0
1961/10/29 14:00,58,0
1961/10/29 15:00,56,0
1961/10/29 16:00,54,0
1961/10/29 17:00,52,0
1961/10/29 18:00,51,0
1961/10/29 19:00,49,0
1961/10/29 20:00,48,0
1961/10/29 21:00,46,0
