date,Qin,flg_2ji
1953/9/24 10:00,18,0
1953/9/24 11:00,18,0
1953/9/24 12:00,18,0
1953/9/24 13:00,18,0
1953/9/24 14:00,19,0
1953/9/24 15:00,20,0
1953/9/24 16:00,22,0
1953/9/24 17:00,24,0
1953/9/24 18:00,28,0
1953/9/24 19:00,33,0
1953/9/24 20:00,39,0
1953/9/24 21:00,47,0
1953/9/24 22:00,54,0
1953/9/24 23:00,62,0
1953/9/25 0:00,73,0
1953/9/25 1:00,84,0
1953/9/25 2:00,95,0
1953/9/25 3:00,105,0
1953/9/25 4:00,113,0
1953/9/25 5:00,130,0
1953/9/25 6:00,149,0
1953/9/25 7:00,149,0
1953/9/25 8:00,146,0
1953/9/25 9:00,145,0
1953/9/25 10:00,145,0
1953/9/25 11:00,143,0
1953/9/25 12:00,164,0
1953/9/25 13:00,318,0
1953/9/25 14:00,704,0
1953/9/25 15:00,1531,0
1953/9/25 16:00,3578,0
1953/9/25 17:00,5701,0
1953/9/25 18:00,5421,0
1953/9/25 19:00,4148,0
1953/9/25 20:00,2829,0
1953/9/25 21:00,1874,0
1953/9/25 22:00,1271,0
1953/9/25 23:00,861,0
1953/9/26 0:00,622,0
1953/9/26 1:00,474,0
1953/9/26 2:00,375,0
1953/9/26 3:00,307,0
1953/9/26 4:00,258,0
1953/9/26 5:00,221,0
1953/9/26 6:00,192,0
1953/9/26 7:00,170,0
1953/9/26 8:00,152,0
1953/9/26 9:00,138,0
1953/9/26 10:00,125,0
1953/9/26 11:00,115,0
1953/9/26 12:00,106,0
1953/9/26 13:00,99,0
1953/9/26 14:00,92,0
1953/9/26 15:00,86,0
1953/9/26 16:00,81,0
1953/9/26 17:00,77,0
1953/9/26 18:00,73,0
1953/9/26 19:00,70,0
1953/9/26 20:00,66,0
1953/9/26 21:00,63,0
